cod_producto,producto,lineas_factura,cantidad_comprada,costo_unitario_factura,costo_factura,stock_actual,valor_stock_a_costo_factura,unidades_vendidas_desde,ventas_desde,facturas_venta_desde,dias_con_venta_desde,primera_venta_desde,ultima_venta_desde,dias_hasta_primera_venta,dias_sin_venta,unidades_30d,unidades_90d,unidades_365d,ventas_365d,sell_through_aparente,banda_sell_through,remanente_minimo_unidades,remanente_minimo_costo,unidades_compradas_despues,documentos_compra_despues,ultima_compra_despues,precio_venta_actual,ingreso_cohorte_estimado,utilidad_bruta_cohorte_estimada,margen_cohorte_estimado,estado_auditoria
MOTS1297,ACEITE CASTROS 20 W 50,1,15.0,21046.0,315690.0,125.0,2630750.0,1129.0,30490400.0,931,507,2024-07-28 14:56:08,2026-09-10 08:35:50,1.0,0.0,24.0,77.0,375.0,10195000.0,1.0,100%,0.0,0.0,1240.0,78,2026-07-29,29000.0,405098.31709477416,89408.31709477416,0.2207076981607326,Compra absorbida; stock repuesto
ARB - 0411694,ARBOL LEVA ECO / SPLENDON / AC 100 SLEEK / C90 SYR,1,2.0,223000.0,446000.0,1.0,223000.0,1.0,45000.0,1,1,2025-06-03 08:55:48,2025-06-03 08:55:48,310.7,464.0,0.0,0.0,0.0,0.0,0.5,50-79%,1.0,223000.0,0.0,0,,372000.0,45000.0,-178000.0,-3.9555555555555557,"Con stock, sin ventas 365d"
43689,CILINDRO KIT FZ,1,1.0,93250.0,93250.0,2.0,186500.0,2.0,285000.0,2,2,2025-03-20 16:04:34,2026-07-23 10:46:17,236.0,49.0,0.0,1.0,1.0,145000.0,1.0,100%,0.0,0.0,3.0,2,2025-07-10,157000.0,142500.0,49250.0,0.3456140350877193,Compra absorbida; stock repuesto
DIR - 017,DIRECCIONAL BWS DEL HUMO UND,1,3.0,78000.0,234000.0,2.0,156000.0,3.0,39000.0,3,3,2024-08-15 14:47:33,2024-12-26 12:23:53,19.0,623.0,0.0,0.0,0.0,0.0,1.0,100%,0.0,0.0,2.0,1,2024-08-01,13000.0,39000.0,-195000.0,-5.0,"Con stock, sin ventas 365d"
MOTS1097,RETEN 16-28-7,1,10.0,15000.0,150000.0,10.0,150000.0,0.0,0.0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0%,10.0,150000.0,0.0,0,,25000.0,0.0,0.0,,Sin ventas desde compra
MOTS1243,BALINERA 6304 C3 KOYO,1,4.0,13500.0,54000.0,9.0,121500.0,4.0,101000.0,3,3,2024-09-13 13:59:19,2025-01-13 18:05:38,47.9,605.0,0.0,0.0,0.0,0.0,1.0,100%,0.0,0.0,9.0,5,2025-01-10,28000.0,101000.0,47000.0,0.46534653465346537,"Con stock, sin ventas 365d"
MOTS1302,KIT EMPAQUE COMPLETO CBF 125 HONDA,1,5.0,23500.0,117500.0,5.0,117500.0,0.0,0.0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0%,5.0,117500.0,0.0,0,,39500.0,0.0,0.0,,Sin ventas desde compra
BK1960,DIRECCIONAL PULSAR 135 CLEAR PARA BYWARD,1,1.0,13900.0,13900.0,8.0,111200.0,9.0,126500.0,5,5,2024-10-15 10:33:41,2026-07-28 17:01:54,79.8,44.0,0.0,4.0,8.0,103000.0,1.0,100%,0.0,0.0,16.0,3,2026-08-28,13300.0,14055.555555555555,155.55555555555475,0.011067193675889271,Compra absorbida; stock repuesto
MOTS1201,SPROKER Y PIÑON PULSAR 80 UND 520 - 39T/14T RODAMAIS,1,3.0,25000.0,75000.0,3.0,75000.0,0.0,0.0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0%,3.0,75000.0,0.0,0,,42000.0,0.0,0.0,,Sin ventas desde compra
4212,TORNILLO FLANGE 6X 60 LLAVE 8 TORNIFRENOS,1,10.0,655.0,6550.0,110.0,72050.0,0.0,0.0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0%,10.0,6550.0,100.0,1,2026-03-14,100.0,0.0,0.0,,Sin ventas desde compra
