mes,unidades,ventas,utilidad_bruta,facturas
2024-07-01,90.0,540000.0,186489.09,36
2024-08-01,407.0,3683400.0,1035899.7799999997,199
2024-09-01,310.0,3164600.0,996288.0199999993,134
2024-10-01,278.0,2571200.0,684688.3700000001,96
2024-11-01,230.0,2523200.0,716222.6399999999,92
2024-12-01,213.0,2096200.0,481403.43999999965,97
2025-01-01,176.0,2282800.0,576169.1499999999,84
2025-02-01,143.0,1387900.0,383321.93999999977,78
2025-03-01,185.0,2038000.0,550676.2699999998,105
2025-04-01,173.0,1926700.0,485916.1699999996,101
2025-05-01,158.0,1940600.0,485893.65999999957,100
2025-06-01,143.0,2174300.0,335319.0899999995,89
2025-07-01,123.0,1895100.0,430688.3800000001,72
2025-08-01,79.0,1267600.0,282219.29,53
2025-09-01,60.0,1110700.0,240126.0,46
2025-10-01,45.0,717700.0,171530.0,36
2025-11-01,60.0,737900.0,195465.13000000006,38
2025-12-01,85.0,1539100.0,386247.50000000023,53
2026-01-01,65.0,1422900.0,314905.68000000017,50
2026-02-01,61.0,1059100.0,245435.83000000005,38
2026-03-01,71.0,995300.0,225327.13000000006,46
2026-04-01,65.0,1085000.0,241798.98999999993,40
2026-05-01,43.0,854200.0,191894.71999999994,29
2026-06-01,32.0,744400.0,161620.28,29
2026-07-01,46.0,788800.0,169732.8,28
2026-08-01,39.0,854100.0,135354.50999999998,35
2026-09-01,30.0,349600.0,56474.97000000001,14
