cod_producto,producto,lineas_factura,cantidad_comprada,costo_unitario_factura,costo_factura,stock_actual,valor_stock_a_costo_factura,unidades_vendidas_desde,ventas_desde,facturas_venta_desde,dias_con_venta_desde,primera_venta_desde,ultima_venta_desde,dias_hasta_primera_venta,dias_sin_venta,unidades_30d,unidades_90d,unidades_365d,ventas_365d,sell_through_aparente,banda_sell_through,remanente_minimo_unidades,remanente_minimo_costo,unidades_compradas_despues,documentos_compra_despues,ultima_compra_despues,precio_venta_actual,ingreso_cohorte_estimado,utilidad_bruta_cohorte_estimada,margen_cohorte_estimado,estado_auditoria
ARB - 0411694,ARBOL LEVA ECO / SPLENDON / AC 100 SLEEK / C90 SYR,1,2.0,223000.0,446000.0,1.0,223000.0,1.0,45000.0,1,1,2025-06-03 08:55:48,2025-06-03 08:55:48,310.7,464.0,0.0,0.0,0.0,0.0,0.5,50-79%,1.0,223000.0,0.0,0,,372000.0,45000.0,-178000.0,-3.9555555555555557,"Con stock, sin ventas 365d"
MOTS1297,ACEITE CASTROS 20 W 50,1,15.0,21046.0,315690.0,125.0,2630750.0,1129.0,30490400.0,931,507,2024-07-28 14:56:08,2026-09-10 08:35:50,1.0,0.0,24.0,77.0,375.0,10195000.0,1.0,100%,0.0,0.0,1240.0,78,2026-07-29,29000.0,405098.31709477416,89408.31709477416,0.2207076981607326,Compra absorbida; stock repuesto
DIR - 017,DIRECCIONAL BWS DEL HUMO UND,1,3.0,78000.0,234000.0,2.0,156000.0,3.0,39000.0,3,3,2024-08-15 14:47:33,2024-12-26 12:23:53,19.0,623.0,0.0,0.0,0.0,0.0,1.0,100%,0.0,0.0,2.0,1,2024-08-01,13000.0,39000.0,-195000.0,-5.0,"Con stock, sin ventas 365d"
MOTS1097,RETEN 16-28-7,1,10.0,15000.0,150000.0,10.0,150000.0,0.0,0.0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0%,10.0,150000.0,0.0,0,,25000.0,0.0,0.0,,Sin ventas desde compra
BOM - 069,BOMBILLO BAYHONETA LED,1,49.0,2500.0,122500.0,20.0,50000.0,30.0,126900.0,29,26,2024-08-23 15:33:36,2025-09-20 09:28:48,27.0,355.0,0.0,0.0,1.0,4500.0,0.6122448979591837,50-79%,19.0,47500.0,2.0,2,2025-08-28,4500.0,126900.0,51900.0,0.408983451536643,Rotación media
MOTS1302,KIT EMPAQUE COMPLETO CBF 125 HONDA,1,5.0,23500.0,117500.0,5.0,117500.0,0.0,0.0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0%,5.0,117500.0,0.0,0,,39500.0,0.0,0.0,,Sin ventas desde compra
MOTS1015,HIDRAULICO AW 68 1/4 GALON POTENSOIL,1,11.0,9500.0,104500.0,1.0,9500.0,11.0,173000.0,11,11,2024-07-28 11:42:28,2024-10-09 15:25:01,0.8,701.0,0.0,0.0,0.0,0.0,1.0,100%,0.0,0.0,1.0,1,2024-09-27,16000.0,173000.0,68500.0,0.3959537572254335,"Con stock, sin ventas 365d"
MOTS1013,VALVULINA 140 1/4 GALON LUGRAXOIL,1,9.0,10500.0,94500.0,0.0,0.0,9.0,127000.0,8,8,2024-07-31 14:37:40,2025-10-23 16:53:35,4.0,322.0,0.0,0.0,2.0,30000.0,1.0,100%,0.0,0.0,0.0,0,,15000.0,127000.0,32500.0,0.2559055118110236,Sin stock actual
43689,CILINDRO KIT FZ,1,1.0,93250.0,93250.0,2.0,186500.0,2.0,285000.0,2,2,2025-03-20 16:04:34,2026-07-23 10:46:17,236.0,49.0,0.0,1.0,1.0,145000.0,1.0,100%,0.0,0.0,3.0,2,2025-07-10,157000.0,142500.0,49250.0,0.3456140350877193,Compra absorbida; stock repuesto
2120,BUJIA D8EA NGK,1,16.0,5800.0,92800.0,1.0,5800.0,16.0,160000.0,14,13,2024-08-07 14:04:48,2025-08-05 11:41:08,10.9,401.0,0.0,0.0,0.0,0.0,1.0,100%,0.0,0.0,1.0,1,2025-02-28,10000.0,160000.0,67200.0,0.42,"Con stock, sin ventas 365d"
