cod_producto,producto,lineas_factura,cantidad_comprada,costo_unitario_factura,costo_factura,stock_actual,valor_stock_a_costo_factura,unidades_vendidas_desde,ventas_desde,facturas_venta_desde,dias_con_venta_desde,primera_venta_desde,ultima_venta_desde,dias_hasta_primera_venta,dias_sin_venta,unidades_30d,unidades_90d,unidades_365d,ventas_365d,sell_through_aparente,banda_sell_through,remanente_minimo_unidades,remanente_minimo_costo,unidades_compradas_despues,documentos_compra_despues,ultima_compra_despues,precio_venta_actual,ingreso_cohorte_estimado,utilidad_bruta_cohorte_estimada,margen_cohorte_estimado,estado_auditoria
ARB - 0411694,ARBOL LEVA ECO / SPLENDON / AC 100 SLEEK / C90 SYR,1,2.0,223000.0,446000.0,1.0,223000.0,1.0,45000.0,1,1,2025-06-03 08:55:48,2025-06-03 08:55:48,310.7,464.0,0.0,0.0,0.0,0.0,0.5,50-79%,1.0,223000.0,0.0,0,,372000.0,45000.0,-178000.0,-3.9555555555555557,"Con stock, sin ventas 365d"
DIR - 017,DIRECCIONAL BWS DEL HUMO UND,1,3.0,78000.0,234000.0,2.0,156000.0,3.0,39000.0,3,3,2024-08-15 14:47:33,2024-12-26 12:23:53,19.0,623.0,0.0,0.0,0.0,0.0,1.0,100%,0.0,0.0,2.0,1,2024-08-01,13000.0,39000.0,-195000.0,-5.0,"Con stock, sin ventas 365d"
MOTS1097,RETEN 16-28-7,1,10.0,15000.0,150000.0,10.0,150000.0,0.0,0.0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0%,10.0,150000.0,0.0,0,,25000.0,0.0,0.0,,Sin ventas desde compra
MOTS1243,BALINERA 6304 C3 KOYO,1,4.0,13500.0,54000.0,9.0,121500.0,4.0,101000.0,3,3,2024-09-13 13:59:19,2025-01-13 18:05:38,47.9,605.0,0.0,0.0,0.0,0.0,1.0,100%,0.0,0.0,9.0,5,2025-01-10,28000.0,101000.0,47000.0,0.46534653465346537,"Con stock, sin ventas 365d"
MOTS1302,KIT EMPAQUE COMPLETO CBF 125 HONDA,1,5.0,23500.0,117500.0,5.0,117500.0,0.0,0.0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0%,5.0,117500.0,0.0,0,,39500.0,0.0,0.0,,Sin ventas desde compra
MOTS1201,SPROKER Y PIÑON PULSAR 80 UND 520 - 39T/14T RODAMAIS,1,3.0,25000.0,75000.0,3.0,75000.0,0.0,0.0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0%,3.0,75000.0,0.0,0,,42000.0,0.0,0.0,,Sin ventas desde compra
4212,TORNILLO FLANGE 6X 60 LLAVE 8 TORNIFRENOS,1,10.0,655.0,6550.0,110.0,72050.0,0.0,0.0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0%,10.0,6550.0,100.0,1,2026-03-14,100.0,0.0,0.0,,Sin ventas desde compra
MOTS1176,MANIGUETA DER GN 125 / 65 125,1,6.0,12000.0,72000.0,6.0,72000.0,0.0,0.0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0%,6.0,72000.0,0.0,0,,20000.0,0.0,0.0,,Sin ventas desde compra
16955,KIT EMPAQUE COMPLETO PULSAR 200 NS MOTOTEE,1,3.0,22500.0,67500.0,3.0,67500.0,0.0,0.0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0%,3.0,67500.0,0.0,0,,37500.0,0.0,0.0,,Sin ventas desde compra
MOTS1086,RETEN 32-43-12-5,1,17.0,4000.0,68000.0,15.0,60000.0,2.0,14000.0,1,1,2025-02-23 10:13:14,2025-02-23 10:13:14,210.8,564.0,0.0,0.0,0.0,0.0,0.11764705882352941,1-49%,15.0,60000.0,0.0,0,,7000.0,14000.0,6000.0,0.42857142857142855,"Con stock, sin ventas 365d"
MOTS1008,FAROLA DT EVOL,1,1.0,29000.0,29000.0,2.0,58000.0,0.0,0.0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0%,1.0,29000.0,1.0,1,2025-11-22,49000.0,0.0,0.0,,Sin ventas desde compra
MOTS1065,RETEN 20-40-8,1,19.0,3000.0,57000.0,19.0,57000.0,0.0,0.0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0%,19.0,57000.0,0.0,0,,5000.0,0.0,0.0,,Sin ventas desde compra
MOTS1197,SPROKER Y PIÑON CB 110,1,2.0,28000.0,56000.0,2.0,56000.0,0.0,0.0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0%,2.0,56000.0,0.0,0,,35000.0,0.0,0.0,,Sin ventas desde compra
MOTS1029,TENSORES CADENA VARIOS,1,45.0,2000.0,90000.0,25.0,50000.0,20.0,62500.0,18,17,2024-11-10 10:19:11,2025-09-22 12:30:33,105.8,353.0,0.0,0.0,1.0,3500.0,0.4444444444444444,1-49%,25.0,50000.0,0.0,0,,3500.0,62500.0,22500.0,0.36,Rotación baja
MOTS1148,DIRECCIONAL BWS FI HUMO TRA - FER UND,1,1.0,8000.0,8000.0,6.0,48000.0,1.0,12000.0,1,1,2024-09-28 10:02:29,2024-09-28 10:02:29,62.8,712.0,0.0,0.0,0.0,0.0,1.0,100%,0.0,0.0,6.0,2,2025-02-07,14000.0,12000.0,4000.0,0.3333333333333333,"Con stock, sin ventas 365d"
MOTS1303,EMPAQUE TAPA CLUCTH CB 110 EMP AMERICA,1,5.0,12000.0,60000.0,4.0,48000.0,1.0,5000.0,1,1,2025-01-28 10:10:00,2025-01-28 10:10:00,184.8,590.0,0.0,0.0,0.0,0.0,0.2,1-49%,4.0,48000.0,0.0,0,,20000.0,5000.0,-7000.0,-1.4,"Con stock, sin ventas 365d"
MOTS1414,CUNA DE DIRECCION PULSAR 200,1,3.0,16000.0,48000.0,3.0,48000.0,0.0,0.0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0%,3.0,48000.0,0.0,0,,32000.0,0.0,0.0,,Sin ventas desde compra
619142,KIT MEDIO EMPAQUE PULSAR 200 NS GPP,1,6.0,9000.0,54000.0,5.0,45000.0,1.0,12000.0,1,1,2024-12-26 15:10:21,2024-12-26 15:10:21,152.0,623.0,0.0,0.0,0.0,0.0,0.16666666666666666,1-49%,5.0,45000.0,0.0,0,,15000.0,12000.0,3000.0,0.25,"Con stock, sin ventas 365d"
A131A3,KIT XT2 125 GPP,1,6.0,7500.0,45000.0,6.0,45000.0,0.0,0.0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0%,6.0,45000.0,0.0,0,,12500.0,0.0,0.0,,Sin ventas desde compra
MOTS1415,KIT 1/2 PULSAR 135,1,5.0,8500.0,42500.0,5.0,42500.0,0.0,0.0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0%,5.0,42500.0,0.0,0,,18000.0,0.0,0.0,,Sin ventas desde compra
KIT - 01C8150,KIT ARRASTRE CB 110 428 H - 120 L 42T 6 PP,1,1.0,42000.0,42000.0,1.0,42000.0,0.0,0.0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0%,1.0,42000.0,0.0,0,,70000.0,0.0,0.0,,Sin ventas desde compra
F211A,KIT EMPAQUE COMPLETO ECO CON STAR GPP,1,1.0,19500.0,19500.0,2.0,39000.0,1.0,32500.0,1,1,2024-08-07 10:00:20,2024-08-07 10:00:20,10.8,764.0,0.0,0.0,0.0,0.0,1.0,100%,0.0,0.0,2.0,2,2024-11-12,32500.0,32500.0,13000.0,0.4,"Con stock, sin ventas 365d"
CAB - 061080,COMANDO IZQ 125 BWS YAMAHA,1,1.0,39000.0,39000.0,1.0,39000.0,2.0,105000.0,2,2,2024-08-05 17:36:11,2024-10-16 18:02:50,9.1,694.0,0.0,0.0,0.0,0.0,1.0,100%,0.0,0.0,2.0,2,2025-01-13,45000.0,52500.0,13500.0,0.2571428571428571,"Con stock, sin ventas 365d"
