mes,unidades,ventas,utilidad_bruta,facturas
2024-07-01,90.0,540000.0,186489.12999999998,36
2024-08-01,407.0,3683400.0,1035900.1599999998,199
2024-09-01,310.0,3164600.0,996288.1099999994,134
2024-10-01,278.0,2571200.0,684688.7100000003,96
2024-11-01,230.0,2523200.0,716222.9700000002,92
2024-12-01,213.0,2096200.0,481397.9600000001,97
2025-01-01,176.0,2282800.0,576158.1699999999,84
2025-02-01,143.0,1387900.0,383316.16000000003,78
2025-03-01,185.0,2038000.0,550667.3399999999,105
2025-04-01,173.0,1926700.0,485905.54999999976,101
2025-05-01,158.0,1940600.0,486151.8499999995,100
2025-06-01,143.0,2174300.0,335643.84000000026,89
2025-07-01,123.0,1895100.0,430789.72,72
2025-08-01,79.0,1267600.0,282245.03,53
2025-09-01,60.0,1110700.0,240140.7600000001,46
2025-10-01,45.0,717700.0,171538.20000000004,36
2025-11-01,60.0,737900.0,195343.74,38
2025-12-01,85.0,1539100.0,385869.2199999998,53
2026-01-01,65.0,1422900.0,314846.2399999995,50
2026-02-01,61.0,1059100.0,245624.15999999986,38
2026-03-01,71.0,995300.0,225515.42999999993,46
2026-04-01,65.0,1085000.0,241896.7099999999,40
2026-05-01,43.0,854200.0,191927.75999999995,29
2026-06-01,32.0,744400.0,161648.61000000002,29
2026-07-01,46.0,788800.0,169880.74000000005,28
2026-08-01,39.0,854100.0,136217.29,35
2026-09-01,17.0,65100.0,11748.679999999997,3
