cod_producto,producto,lineas_factura,cantidad_comprada,costo_unitario_factura,costo_factura,stock_actual,valor_stock_a_costo_factura,unidades_vendidas_desde,ventas_desde,facturas_venta_desde,dias_con_venta_desde,primera_venta_desde,ultima_venta_desde,dias_hasta_primera_venta,dias_sin_venta,unidades_30d,unidades_90d,unidades_365d,ventas_365d,sell_through_aparente,banda_sell_through,remanente_minimo_unidades,remanente_minimo_costo,unidades_compradas_despues,documentos_compra_despues,ultima_compra_despues,precio_venta_actual,ingreso_cohorte_estimado,utilidad_bruta_cohorte_estimada,margen_cohorte_estimado,estado_auditoria
MOTS1225,BALINERA 6205 C3 KOYO,1,8.0,4000.0,32000.0,4.0,16000.0,8.0,134000.0,5,5,2024-10-20 12:19:01,2025-06-16 12:02:09,84.9,443.0,0.0,0.0,0.0,0.0,1.0,100%,0.0,0.0,4.0,2,2024-11-25,17000.0,134000.0,102000.0,0.7611940298507462,"Con stock, sin ventas 365d"
MOTS1297,ACEITE CASTROS 20 W 50,1,15.0,21046.0,315690.0,133.0,2799118.0,1120.0,30229400.0,922,501,2024-07-28 14:56:08,2026-09-02 11:26:53,1.0,0.0,26.0,73.0,375.0,10177000.0,1.0,100%,0.0,0.0,1240.0,78,2026-07-29,29000.0,404858.0357142857,89168.03571428568,0.22024519176695528,Compra absorbida; stock repuesto
MOTS1015,HIDRAULICO AW 68 1/4 GALON POTENSOIL,1,11.0,9500.0,104500.0,1.0,9500.0,11.0,173000.0,11,11,2024-07-28 11:42:28,2024-10-09 15:25:01,0.8,693.0,0.0,0.0,0.0,0.0,1.0,100%,0.0,0.0,1.0,1,2024-09-27,16000.0,173000.0,68500.0,0.3959537572254335,"Con stock, sin ventas 365d"
2120,BUJIA D8EA NGK,1,16.0,5800.0,92800.0,1.0,5800.0,16.0,160000.0,14,13,2024-08-07 14:04:48,2025-08-05 11:41:08,10.9,393.0,0.0,0.0,0.0,0.0,1.0,100%,0.0,0.0,1.0,1,2025-02-28,10000.0,160000.0,67200.0,0.42,"Con stock, sin ventas 365d"
MOTS1296,CABLE ALTA METRO,1,32.0,620.0,19840.0,7.0,4340.0,32.0,77000.0,20,19,2024-08-14 11:58:36,2026-02-12 17:28:21,17.8,202.0,0.0,0.0,5.0,10500.0,1.0,100%,0.0,0.0,7.0,5,2026-02-12,2500.0,77000.0,57160.0,0.7423376623376623,Compra absorbida; stock repuesto
408772,"NEUMATICO 2,75/300-18 2BR MOTOR",1,9.0,9500.0,85500.0,0.0,0.0,9.0,138000.0,9,9,2024-07-31 09:40:59,2024-10-07 17:37:07,3.8,695.0,0.0,0.0,0.0,0.0,1.0,100%,0.0,0.0,0.0,0,,16000.0,138000.0,52500.0,0.3804347826086957,Sin stock actual
BOM - 069,BOMBILLO BAYHONETA LED,1,49.0,2500.0,122500.0,20.0,50000.0,30.0,126900.0,29,26,2024-08-23 15:33:36,2025-09-20 09:28:48,27.0,347.0,0.0,0.0,1.0,4500.0,0.6122448979591837,50-79%,19.0,47500.0,2.0,2,2025-08-28,4500.0,126900.0,51900.0,0.408983451536643,Rotación media
43689,CILINDRO KIT FZ,1,1.0,93250.0,93250.0,2.0,186500.0,2.0,285000.0,2,2,2025-03-20 16:04:34,2026-07-23 10:46:17,236.0,41.0,0.0,1.0,1.0,145000.0,1.0,100%,0.0,0.0,3.0,2,2025-07-10,157000.0,142500.0,49250.0,0.3456140350877193,Compra absorbida; stock repuesto
MOTS1243,BALINERA 6304 C3 KOYO,1,4.0,13500.0,54000.0,9.0,121500.0,4.0,101000.0,3,3,2024-09-13 13:59:19,2025-01-13 18:05:38,47.9,597.0,0.0,0.0,0.0,0.0,1.0,100%,0.0,0.0,9.0,5,2025-01-10,28000.0,101000.0,47000.0,0.46534653465346537,"Con stock, sin ventas 365d"
MOTS1251,PASTILLAS FRENO PULSAR 200 NS TRA BAJAS,1,4.0,7300.0,29200.0,0.0,0.0,4.0,72000.0,4,4,2024-09-12 17:22:57,2025-02-04 12:31:32,47.1,575.0,0.0,0.0,0.0,0.0,1.0,100%,0.0,0.0,0.0,0,,18000.0,72000.0,42800.0,0.5944444444444444,Sin stock actual
MOTS1298,MANGUERA GASOLINA MT ORIGINAL,1,28.0,500.0,14000.0,8.0,4000.0,108.0,210000.0,73,60,2024-08-17 11:50:12,2025-06-28 19:23:35,20.8,431.0,0.0,0.0,0.0,0.0,1.0,100%,0.0,0.0,88.0,8,2025-05-27,2000.0,54444.44444444444,40444.44444444444,0.7428571428571428,"Con stock, sin ventas 365d"
902263,MANIGUETA DER CA 100 SPLENDOR JAPAN,2,10.0,6300.0,63000.0,3.0,18900.0,10.0,102500.0,10,10,2024-08-16 15:12:37,2025-03-28 17:26:23,20.0,523.0,0.0,0.0,0.0,0.0,1.0,100%,0.0,0.0,3.0,3,2025-03-06,9500.0,102500.0,39500.0,0.3853658536585366,"Con stock, sin ventas 365d"
43979,MANUBRIO XTZ 125,1,2.0,21550.0,43100.0,0.0,0.0,9.0,368000.0,9,9,2024-09-17 12:25:28,2026-08-20 17:20:12,51.9,13.0,1.0,2.0,4.0,189000.0,1.0,100%,0.0,0.0,7.0,4,2026-05-28,49800.0,81777.77777777778,38677.77777777778,0.47296195652173917,Sin stock actual
HDR - C01,HORQUILLAS ECO DELUXE HERO,1,5.0,18000.0,90000.0,1.0,18000.0,4.0,110000.0,4,4,2024-09-05 08:48:47,2024-11-02 08:14:23,39.7,669.0,0.0,0.0,0.0,0.0,0.8,50-79%,1.0,18000.0,0.0,0,,25000.0,110000.0,38000.0,0.34545454545454546,"Con stock, sin ventas 365d"
FG3020,GUAYA ACELERADOR CON RETORNO XT2 125 QUALITY,1,4.0,18000.0,72000.0,0.0,0.0,4.0,110000.0,4,4,2024-09-22 10:18:17,2025-11-20 12:21:16,56.8,286.0,0.0,0.0,1.0,30000.0,1.0,100%,0.0,0.0,0.0,0,,30000.0,110000.0,38000.0,0.34545454545454546,Sin stock actual
MOTS1023,RUM COMPLETO NEGRO NIP POW,1,9.0,6800.0,61200.0,3.0,20400.0,9.0,98000.0,9,9,2024-08-02 10:54:24,2025-04-28 14:24:05,5.8,492.0,0.0,0.0,0.0,0.0,1.0,100%,0.0,0.0,3.0,3,2025-04-27,11500.0,98000.0,36800.0,0.37551020408163266,"Con stock, sin ventas 365d"
BAL - 01908,BALINERA 6301 ZZCM KOYO,1,8.0,4800.0,38400.0,7.0,33600.0,8.0,74000.0,5,4,2024-08-05 17:36:11,2024-08-27 15:34:40,9.1,736.0,0.0,0.0,0.0,0.0,1.0,100%,0.0,0.0,7.0,2,2025-01-16,10500.0,74000.0,35600.0,0.4810810810810811,"Con stock, sin ventas 365d"
D283,LIQUIDO FRENO DOT 3 ISIN,1,10.0,5100.0,51000.0,0.0,0.0,10.0,85000.0,10,8,2024-07-27 16:36:09,2024-08-25 10:39:53,0.0,738.0,0.0,0.0,0.0,0.0,1.0,100%,0.0,0.0,0.0,0,,8500.0,85000.0,34000.0,0.4,Sin stock actual
